categoryName,view_count,likes,dislikes,comment_count
Film & Animation,144933,2617,87,684
Comedy,231488,11038,428,753
Sports,31255,193,8,8
Sports,74144,889,26,80
Music,132941,7813,135,311
Education,2175096,161805,977,10388
Comedy,657800,38243,3189,2317
People & Blogs,204793,10492,863,620
Comedy,924119,7749,518,804
Gaming,45248,6736,48,327
Gaming,82720,8267,174,1760
People & Blogs,261781,7410,192,818
Music,1296115,15875,247,741
Sports,249711,4180,360,125
News & Politics,1029341,12896,980,186
People & Blogs,64911,644,139,35
People & Blogs,21088,1956,133,220
Howto & Style,93019,8029,84,451
News & Politics,100313,532,25,638
Entertainment,362460,3719,984,1621
Howto & Style,297373,4242,196,184
Autos & Vehicles,396585,12603,474,1472
Film & Animation,454322,0,0,0
Music,3266152,245893,1392,13153
People & Blogs,49298,5157,177,686
Comedy,1495037,171402,1295,9558
People & Blogs,74088,6508,146,645
Entertainment,985473,16639,1407,3046
Music,48954,4379,22,246
Entertainment,52744,6721,95,250
Comedy,720697,17804,646,437
Sports,706127,23533,328,808
Comedy,807268,8557,512,1786
Music,622413,53547,279,3695
Sports,403661,20614,134,51
News & Politics,175058,4939,114,1007
,84502,4004,94,184
Entertainment,140570,3075,178,784
Entertainment,3035133,164937,1448,25180
Entertainment,118379,7851,347,165
Sports,116964,1475,45,356
Sports,202557,1336,97,754
Gaming,1298454,115914,2657,16589
Sports,747646,3061,155,1761
Gaming,125393,4952,233,203
Science & Technology,511485,7929,143,1663
Comedy,205040,15959,167,1048
News & Politics,280267,6970,721,3594
Music,3055883,45748,1480,2235
Gaming,262763,8140,1134,0
Music,199737,17267,107,763
News & Politics,576146,2971,1745,3180
Film & Animation,314888,4704,87,562
Gaming,149211,14581,272,485
Comedy,1029424,117782,2416,2459
Comedy,720210,92187,2364,3625
Entertainment,4742515,68475,4992,2806
News & Politics,290956,48654,172,6363
Music,90839,1786,55,62
News & Politics,50763,1640,140,35
Entertainment,972903,10726,439,1133
Howto & Style,371053,22272,210,480
News & Politics,437457,16006,1146,1744
Music,156986,3284,179,255
People & Blogs,297281,73325,427,2145
People & Blogs,272990,37188,294,1747
People & Blogs,210754,3407,128,112
Sports,1204364,146240,1146,3891
Entertainment,1199938,79056,1124,1758
People & Blogs,63021,5148,162,1694
Entertainment,113661,6495,242,582
Entertainment,112484,13512,413,450
Gaming,1103767,74980,685,6187
Entertainment,3764774,63864,3151,1341
Entertainment,789842,19139,362,2270
Entertainment,289721,17051,367,313
Comedy,255406,19066,1106,1255
Autos & Vehicles,84459,8874,161,646
Comedy,66556,4387,51,175
Comedy,172892,23240,119,1171
Entertainment,966591,12542,395,1785
Howto & Style,334419,6593,182,0
Entertainment,924097,15220,1144,981
Sports,620477,47450,1765,5906
Entertainment,324677,18045,157,477
Entertainment,637822,8456,231,866
Entertainment,237951,4139,64,112
Sports,157428,4437,153,364
Gaming,203701,3317,64,431
People & Blogs,997319,63370,935,4217
Gaming,908118,121175,1311,0
Education,574501,50521,1416,5030
Howto & Style,369428,37072,334,735
Comedy,100660,14538,123,889
Entertainment,77293,724,93,31
Film & Animation,181255,972,140,123
Film & Animation,175820,27972,531,1738
News & Politics,144454,1844,241,0
Entertainment,132115,1627,115,612
Sports,101909,5326,51,237
People & Blogs,24858,2752,75,737
News & Politics,475382,31215,1241,1310
Entertainment,388950,7055,409,971
Gaming,59651,3287,190,240
Sports,487209,41709,788,1983
News & Politics,48620,1848,49,65
People & Blogs,1406467,36964,855,2047
Comedy,583988,89300,1072,2741
People & Blogs,1009636,60510,14966,7347
Entertainment,3498946,250562,1411,21543
Music,277203,3188,74,17
Music,1350916,94162,2062,14451
People & Blogs,340474,8503,1177,247
News & Politics,340700,1561,2464,409
Comedy,208618,4030,278,319
Entertainment,105087,7734,640,541
,81730,9757,86,1479
Music,504315,3121,907,573
Entertainment,1952261,12824,2142,1483
Entertainment,86099,3866,73,601
Comedy,759455,66275,494,3186
News & Politics,369955,1665,281,281
People & Blogs,317574,7515,247,880
Entertainment,5645257,563640,3676,14419
Gaming,61727,5694,312,642
News & Politics,379442,7162,292,6390
Entertainment,960774,32772,489,1864
Sports,361397,14306,346,141
People & Blogs,140556,7607,52,394
Sports,864985,68652,1344,2405
Entertainment,1653198,30559,1184,6477
Music,227346,61198,80,3536
Sports,1089403,14839,645,426
Science & Technology,68166,2419,92,518
Entertainment,431661,0,0,2131
People & Blogs,221813,5988,377,616
Entertainment,59923,892,72,140
Autos & Vehicles,704339,58337,1651,9023
Entertainment,106654,1861,33,108
Comedy,1007275,75366,1051,5398
Music,809417,37004,802,2597
Howto & Style,233712,4368,393,262
News & Politics,163066,7681,353,597
Autos & Vehicles,49892,3294,80,370
Entertainment,272349,21895,123,2421
Entertainment,2847578,49783,636,2968
People & Blogs,185831,25996,273,1641
People & Blogs,525467,16489,324,1765
Travel & Events,316362,29340,462,3211
Entertainment,113635,13889,461,1764
