categoryName,trending_date,country,count
Autos & Vehicles,2020-09-05 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-05 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-09-05 00:00:00+00:00,Mexico,3
Autos & Vehicles,2020-09-05 00:00:00+00:00,Russia,11
Autos & Vehicles,2020-09-05 00:00:00+00:00,South Korea,2
Autos & Vehicles,2020-09-05 00:00:00+00:00,United Kingdom,5
Autos & Vehicles,2020-09-05 00:00:00+00:00,United States,5
Autos & Vehicles,2020-09-06 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-09-06 00:00:00+00:00,Canada,6
Autos & Vehicles,2020-09-06 00:00:00+00:00,France,7
Autos & Vehicles,2020-09-06 00:00:00+00:00,Germany,22
Autos & Vehicles,2020-09-06 00:00:00+00:00,India,2
Autos & Vehicles,2020-09-06 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-09-06 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-09-06 00:00:00+00:00,Russia,8
Autos & Vehicles,2020-09-06 00:00:00+00:00,South Korea,1
Autos & Vehicles,2020-09-06 00:00:00+00:00,United Kingdom,7
Autos & Vehicles,2020-09-06 00:00:00+00:00,United States,6
Autos & Vehicles,2020-09-07 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-09-07 00:00:00+00:00,Canada,6
Autos & Vehicles,2020-09-07 00:00:00+00:00,France,5
Autos & Vehicles,2020-09-07 00:00:00+00:00,Germany,16
Autos & Vehicles,2020-09-07 00:00:00+00:00,India,2
Autos & Vehicles,2020-09-07 00:00:00+00:00,Japan,4
Autos & Vehicles,2020-09-07 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-09-07 00:00:00+00:00,Russia,11
Autos & Vehicles,2020-09-07 00:00:00+00:00,South Korea,1
Autos & Vehicles,2020-09-07 00:00:00+00:00,United Kingdom,6
Autos & Vehicles,2020-09-07 00:00:00+00:00,United States,6
Autos & Vehicles,2020-09-08 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-09-08 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-09-08 00:00:00+00:00,France,5
Autos & Vehicles,2020-09-08 00:00:00+00:00,Germany,13
Autos & Vehicles,2020-09-08 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-08 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-09-08 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-09-08 00:00:00+00:00,Russia,13
Autos & Vehicles,2020-09-08 00:00:00+00:00,United Kingdom,6
Autos & Vehicles,2020-09-08 00:00:00+00:00,United States,6
Autos & Vehicles,2020-09-09 00:00:00+00:00,Brazil,5
Autos & Vehicles,2020-09-09 00:00:00+00:00,Canada,2
Autos & Vehicles,2020-09-09 00:00:00+00:00,France,5
Autos & Vehicles,2020-09-09 00:00:00+00:00,Germany,10
Autos & Vehicles,2020-09-09 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-09 00:00:00+00:00,Japan,4
Autos & Vehicles,2020-09-09 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-09 00:00:00+00:00,Russia,12
Autos & Vehicles,2020-09-09 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-09-09 00:00:00+00:00,United States,5
Autos & Vehicles,2020-09-10 00:00:00+00:00,Brazil,5
Autos & Vehicles,2020-09-10 00:00:00+00:00,Canada,2
Autos & Vehicles,2020-09-10 00:00:00+00:00,France,6
Autos & Vehicles,2020-09-10 00:00:00+00:00,Germany,12
Autos & Vehicles,2020-09-10 00:00:00+00:00,India,1
